,ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
586,Isaac_Newton,Was Isaac Newton British?,Yes.,easy,medium
587,Isaac_Newton,Was Isaac Newton British?,"Yes, he was English.",easy,hard
588,Isaac_Newton,Was Isaac Newton religious?,It is not clear.,easy,too hard
589,Isaac_Newton,Was Isaac Newton religious?,"Yes, he was highly religious, though an unorthodox Christian.",easy,easy
590,Isaac_Newton,Did Isaac Newton die in 1898?,No.,easy,easy
591,Isaac_Newton,Did Isaac Newton die in 1898?,"No, Newton died in his sleep in London on 31 March 1727.",easy,easy
593,Isaac_Newton,Where was Isaac Newton born?,"He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire.",medium,medium
594,Isaac_Newton,Who shares credit with Isaac Newton for developing calculus?,Gottfried Leibniz.,medium,medium
595,Isaac_Newton,Who shares credit with Isaac Newton for developing calculus?,Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.,medium,medium
596,Isaac_Newton,When did Isaac Newton discover the generalized binomial theorem?,In 1665.,medium,medium
597,Isaac_Newton,When did Isaac Newton discover the generalized binomial theorem?,In 1665.,medium,medium
598,Isaac_Newton,Did the Occult influence Newton's theory of gravitation?,Yes.,hard,hard
599,Isaac_Newton,Did the Occult influence Newton's theory of gravitation?,"If Newton had not relied on the occult idea of action at a distance, he might not have developed his theory of gravity.",hard,too hard
600,Isaac_Newton,Were Newton's religious views consistent with Anglicanism?,No.,hard,hard
601,Isaac_Newton,Were Newton's religious views consistent with Anglicanism?,"No, a conflict between Newton's religious views and Anglican orthodoxy was averted.",hard,too hard
602,Isaac_Newton,Which fruit inspired Isaac Newton's theory of gravitation?,The apple.,hard,medium
603,Isaac_Newton,Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.,hard,hard
604,Isaac_Newton,Was Sir Isaac Newton an English physicist and mathematician?,yes,easy,easy
605,Isaac_Newton,Was Sir Isaac Newton an English physicist and mathematician?,yes,easy,easy
606,Isaac_Newton,Did he build the first practical reflecting telescope?,yes,easy,easy
607,Isaac_Newton,"Was Isaac Newton educated at The King's Schol, Grantham?",yes,easy,easy
608,Isaac_Newton,"Was Isaac Newton educated at The King's Schol, Grantham?",yes,easy,easy
609,Isaac_Newton,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth,medium,medium
610,Isaac_Newton,Where was Isaac Newton born?,Woolsthorpe Manor in Woolsthorpe-by-Colsterworth,medium,medium
611,Isaac_Newton,When was the Principia published?,1687,medium,medium
612,Isaac_Newton,When was the Principia published?,1687,medium,medium
613,Isaac_Newton,Where is there a Newton statue on display?,Oxford University Museum of Natural History ,medium,medium
614,Isaac_Newton,Where is there a Newton statue on display?,Oxford University Museum of Natural History,medium,medium
615,Isaac_Newton,Where was Isaac Newton buried?,Westminster Abbey,hard,medium
617,Isaac_Newton,What religion did Isaac Newton follow?,he never made a public declaration of his private faith,hard,too hard
618,Isaac_Newton,What religion did Isaac Newton follow?,unorthodox Christian,hard,medium
619,Isaac_Newton,What food gave Isaac Newton clues to his theory of gravity?,apple,hard,hard
620,Isaac_Newton,What food gave Isaac Newton clues to his theory of gravity?,apple,hard,hard
621,Jackson_Pollock,Who was a farmer and later a land surveyor for the government?, LeRoy Pollock was a farmer and later a land surveyor for the government.,,medium
622,Jackson_Pollock,"Regarding this topic, what did David Alfaro Siqueiros do?",Pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in New York City by the Mexican muralist David Alfaro Siqueiros.,,easy
623,Jackson_Pollock,"Who used hardened brushes, sticks,?","Jackson Pollock used hardened brushes, sticks.",,medium
624,Jackson_Pollock,When were his papers donated by Lee Krasner?,In 1983.,,medium
625,Jackson_Pollock,Did Free Jazz feature a Pollock painting as its cover artwork?,Yes.,,easy
626,Jackson_Pollock,Was Paul Jackson Pollock an influential American painter as well as a major figure in the abstract expressionist movement?,"Yes, Pollock was an influential American painter and a major figure in the abstract expressionist movement.",,easy
628,Jackson_Pollock,"During his lifetime, did Pollock enjoy considerable fame and notoriety?",Yes.,,easy
629,Jackson_Pollock,Was he regarded as a mostly reclusive artist?,"Yes, he was regarded as a mostly reclusive artist. ",,easy
630,Jakarta,Is the Wisma building the tallest building in Indonesia?,yes,easy,medium
631,Jakarta,Is the Wisma building the tallest building in Indonesia?,"Yes,",easy,easy
633,Jakarta,is there a chinese community in jakarta?,Yes.,easy,easy
634,Jakarta,Is Jakarta the 12th largest city in the world?,yes,easy,medium
635,Jakarta,Is Jakarta the 12th largest city in the world?,Yes.,easy,hard
636,Jakarta,What is the capital of Indonesia?,Jakarta,medium,easy
637,Jakarta,What is the capital of Indonesia?,The capital of Indonesia is Jakarta.,medium,easy
638,Jakarta,What is the official name of Jakarta?,Daerah Khusus Ibukota Jakarta,medium,easy
639,Jakarta,What is the official name of Jakarta?,Daerah Khusus.,medium,easy
640,Jakarta,How is the climate in the city?,Jakarta has a hot and humid equatorial/tropical climate ,medium,medium
641,Jakarta,How is the climate in the city?,The city is hot and humid.,medium,medium
642,Jakarta,Where does the name of the city Jakarta come from?,"The name Jakarta is derived from the Sanskrit word ""Jayakarta.""",hard,medium
643,Jakarta,How is the city's governor chosen?,election,hard,hard
644,Jakarta,How is the city's governor chosen?,Through election.,hard,hard
645,Jakarta,Why does Jakarta suffer frequent flooding?,Because it is located approximately eight meters above the sea level,hard,hard
647,Jakarta,Is the the biggest university in Jakarta the University of Indonesia,yes,easy,easy
648,Jakarta,Is Jakarta a city,yes,easy,easy
650,Jakarta,Is the most important river the Ciliwung River,yes,easy,easy
651,Jakarta,Is the most important river the Ciliwung River,Yes,easy,easy
652,Jakarta,Where is Jakarta located,northwest coast of Java,medium,medium
653,Jakarta,Where is Jakarta located,On the northwest coast of Java,medium,medium
654,Jakarta,Who created Monas Park,General Herman Willem Deandels,medium,medium
655,Jakarta,Who created Monas Park,Dutch Governor General Herman Willem Deandels,medium,hard
656,Jakarta,Do mikrolets travel on the main roads?,no,hard,medium
657,Jakarta,Do mikrolets travel on the main roads?,No,hard,easy
658,Jakarta,What contributes to frequent flooding in Jakarta,"Jakarta lies on a plain eight meters, approximately eight meters above the sea level.",hard,medium
659,Jakarta,What contributes to frequent flooding in Jakarta,"It lies on a plain, approximately eight meters above the sea level",hard,medium
660,Jakarta,Did the economy improve in Jakarta in 2007,yes,hard,hard
661,Jakarta,Did the economy improve in Jakarta in 2007,Yes,hard,easy
662,Jakarta,"In AD 39, King Purnawarman established Sunda Pura as a new capital city for the kingdom, located at the northern coast of where?",Java,,medium
663,Jakarta,"In 1602, the British East India Company's first voyage, commanded by Sir who, arrived in Aceh and sailed on to Banten where they were allowed to build a trading post?",James Lancaster,,medium
664,Jakarta,Who began control of migration to the city in order to stem the overcrowding and poverty?,Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.,,hard
665,Jakarta,Did Jayawikarta's soldiers attack the Dutch fortress?,yes,,easy
666,Jakarta,Did Suharto resign as president?,Yes,,easy
668,Jakarta,Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?,Yes,,easy
669,Jakarta,Give an example of the many Sukarno era monuments in the city. ,The West Irian Liberation Statue is one of the many Sukarno era monuments in the city. ,,medium
670,Jakarta,"Is Jakarta the country's economic, cultural and political center?",Yes.,,easy
671,James_Watt,Is James Watt French?,"No, he was Scottish.",easy,easy
672,James_Watt,Is James Watt French?,No,easy,easy
673,James_Watt,Did James Watt improve an engine?,"Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution.",easy,easy
674,James_Watt,Did James Watt improve an engine?,Yes,easy,easy
675,James_Watt,Is there a statue of Watt in the White House?,"No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral.",easy,easy
676,James_Watt,Is there a statue of Watt in the White House?,No,easy,easy
677,James_Watt,What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.",medium,hard
678,James_Watt,What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.",medium,hard
679,James_Watt,When did Watt retire?,In 1800.,medium,medium
680,James_Watt,When did Watt retire?,Watt retired in 1800.,medium,medium
682,James_Watt,Where is the James Watt Memorial College?,The James Watt Memorial  is in Greenock.,medium,medium
683,James_Watt,Why is the watt named after Watt?,The watt is named after him for his contributions to the development of the steam engine.,hard,medium
684,James_Watt,Why is the watt named after Watt?,The watt is named after James Watt for his contributions to the development of the steam engine.,hard,medium
685,James_Watt,Where did Watt attend university?,Watt did not attend school regularly.,hard,too hard
686,James_Watt,Where did Watt attend university?,He did not attend a university.,hard,too hard
687,James_Watt,What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.",hard,medium
688,James_Watt,What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.",hard,medium
689,James_Watt,Was James Watt a member of the Lunar Society?,,easy,
690,James_Watt,Was James Watt a member of the Lunar Society?,,easy,
691,James_Watt,Did James Watt marry his cousin?,,easy,
692,James_Watt,Did James Watt marry his cousin?,,easy,
693,James_Watt,Was Watt married to Agnes Muirhead?,,easy,
694,James_Watt,Was Watt married to Agnes Muirhead?,,easy,
697,James_Watt,In what year did Watt retire?,,medium,
698,James_Watt,In what year did Watt retire?,,medium,
699,James_Watt,Where was Watt buried?,,medium,
700,James_Watt,Where was Watt buried?,,medium,
702,James_Watt,When did Watt set up his workshop at the University of Glasgow?,,hard,
703,James_Watt,Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?,,hard,
704,James_Watt,Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?,,hard,
705,James_Watt,How old was Watt when he died?,,hard,
706,James_Watt,How old was Watt when he died?,,hard,
707,Koala,What happened in the early 20th century?,The koalas of South Australia were largely exterminated.,,medium
708,Koala,Do Koalas have a slow metabolism?,yes,,easy
709,Koala,Did eucalypt forests grow in the place of rainforests?,"Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.",,easy
710,Koala,Does the koala fill the same ecological role as the sloth of South America?,The koala fills the same ecological role as the sloth of South America.,,easy
711,Koala,Is the long term viability of the koala therefore threatened by genetic weakness?,The long term viability of the koala is therefore threatened by genetic weakness.,,easy
712,Koala,"Is the koala found in coastal regions of eastern and southern Australia, from near Adelaide to the southern part of Cape York Peninsula?",yes,,easy
713,Koala,Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.,,easy
714,Koala,"Were the koalas of South Australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock?","The koalas of South Australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock.",,easy
715,Korean_language,Is Korean the official language of Korea?,Yes,easy,easy
716,Korean_language,Is Korean the official language of Korea?,Yes,easy,medium
718,Korean_language,"Is the word ""Korean"" derived from Goryeo?",yes,easy,medium
719,Korean_language,Are all dialects of Korean similar to each other?,Yes,easy,easy
720,Korean_language,Are all dialects of Korean similar to each other?,Yes,easy,easy
721,Korean_language,About how many Koreans speakers are there?,78 million,medium,medium
722,Korean_language,About how many Koreans speakers are there?,78 million Korean speakers,medium,medium
725,Korean_language,What is the official language of North Korea?,Korean,medium,medium
726,Korean_language,What is the official language of North Korea?,Korean,medium,medium
727,Korean_language,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category,hard,hard
728,Korean_language,Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?,English does not have an identical grammatical category,hard,too hard
729,Korean_language,Where do the majority of loanwords other than Sino-Korean come from?,modern times,hard,medium
730,Korean_language,Where do the majority of loanwords other than Sino-Korean come from?,"modern times, 90% of which are from English",hard,hard
731,Korean_language,How many Korean speakers are there?,There are about 78 million Korean speakers.,easy,easy
732,Korean_language,How many Korean speakers are there?,,easy,
733,Korean_language,How many parts of speech does the Korean language contain?,The Korean Language contains nine parts of speech. ,easy,too easy
734,Korean_language,How many parts of speech does the Korean language contain?,,easy,
735,Korean_language,How many verb paradigms are there in Korean?,There are seven verb paradigms or speech levels in Korean.,easy,easy
736,Korean_language,How many verb paradigms are there in Korean?,,easy,
737,Korean_language,What is the Sino-Korean system of numbers based on?,The Sino-Korean system is nearly entirely based on the Chinese numerals.,medium,easy
738,Korean_language,What is the Sino-Korean system of numbers based on?,,medium,
739,Korean_language,What is another term for Korean adjectives?,"Adjectives are also known as ""descriptive verbs"" or ""stative verbs"".",medium,medium
740,Korean_language,What is another term for Korean adjectives?,,medium,
741,Korean_language,Is modern Korean written in columns or rows?,It is written in rows.,medium,hard
742,Korean_language,Is modern Korean written in columns or rows?,,medium,
743,Korean_language,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,Sino-Korean makes up 30% of the Korean language.,hard,too hard
744,Korean_language,What percentage of the Korean language does Jeong Jae-do estimate to be Sino-Korean?,,hard,
745,Korean_language,Do Chinese and Japanese have spaces between words?,"No, Chinese and Japanese do not have spaces between words.",hard,medium
746,Korean_language,Do Chinese and Japanese have spaces between words?,,hard,
747,Korean_language,From which languages is Korean descended?,"Korean is descended from Old Korean, Middle Korean and Modern Korean.",hard,easy
748,Korean_language,From which languages is Korean descended?,,hard,
749,Korean_language,Are there seven verb paradigms or speech levels in Korean?,Yes.,,easy
751,Korean_language,Are the Korean names for the language based on the names for Korea used in North as well as South Korea?,Yes.,,easy
752,Korean_language,Is it not also one of the two official languages of the Yanbian Korean Autonomous Prefecture in China?,Yes.,,easy
753,Korean_language,Is the dialect spoken in Jeju located in fact classified as a different language by all Korean linguists?,The dialect spoken in Jeju is in fact classified as a different language by some Korean linguists.,,hard
754,Korean_language,Is it also one of the two official languages in the Yanbian Korean Autonomous Prefecture in China?,Yes,,easy
755,Kuala_Lumpur,Is Kuala Lumpur the capitol of Malaysia? disfluent,Yes,easy,easy
756,Kuala_Lumpur,Is Kuala Lumpur the capitol of Malaysia? disfluent,,easy,
757,Kuala_Lumpur,Is Kuala Lumpur in the Selangor state?,Yes,easy,medium
758,Kuala_Lumpur,Is Kuala Lumpur in the Selangor state?,,easy,
760,Kuala_Lumpur,What's the population of Kuala lumpur?,,easy,
761,Kuala_Lumpur,What language do they speak in Kuala Lumpur?,Bahasa Melayu,medium,medium
762,Kuala_Lumpur,What language do they speak in Kuala Lumpur?,,medium,
763,Kuala_Lumpur,"What does the name ""Kuala Lumpur"" mean?","muddy confluence, ""muddy estuary,"" and ""muddy city""",medium,medium
764,Kuala_Lumpur,"What does the name ""Kuala Lumpur"" mean?",,medium,
765,Kuala_Lumpur,What airports does Kuala Lumpur have?,Kuala Lumpur International Airport and Subang International Airport,medium,medium
766,Kuala_Lumpur,What airports does Kuala Lumpur have?,,medium,
767,Kuala_Lumpur,How long was Kuala Lumpur occupied by the Japanese?,42 months,hard,hard
768,Kuala_Lumpur,How long was Kuala Lumpur occupied by the Japanese?,,hard,
770,Kuala_Lumpur,How many seasons does Kuala Lumpur experience?,,hard,
771,Kuala_Lumpur,When were the colonial buildings in Kuala Lumpur constructed?,toward the end of the 19th and early 20th centuries,hard,medium
772,Kuala_Lumpur,When were the colonial buildings in Kuala Lumpur constructed?,,hard,
773,Kuala_Lumpur,Is it a host city for the Formula One World Championship?,Yes,easy,medium
774,Kuala_Lumpur,Is it a host city for the Formula One World Championship?,,easy,
775,Kuala_Lumpur,is the central market located in the proximity of the pertama complex?,No,easy,easy
776,Kuala_Lumpur,is the central market located in the proximity of the pertama complex?,,easy,
777,Kuala_Lumpur,is it home to the parliament of malaysia?,Yes,easy,medium
778,Kuala_Lumpur,is it home to the parliament of malaysia?,,easy,
779,Kuala_Lumpur,when did kuala lumpur become a federal territory of malaysia?,"February 1, 1974",medium,medium
781,Kuala_Lumpur,What is the city's population?,1.6 million,medium,medium
782,Kuala_Lumpur,What is the city's population?,,medium,
783,Kuala_Lumpur,What is the official religion in the country?,Islam,medium,medium
784,Kuala_Lumpur,What is the official religion in the country?,,medium,
785,Kuala_Lumpur,Is there a more industrialized region in malaysia?,No,hard,medium
786,Kuala_Lumpur,Is there a more industrialized region in malaysia?,,hard,
787,Kuala_Lumpur,"after the 2008 elections, what party had the most parliament seats?",DAP,hard,hard
788,Kuala_Lumpur,"after the 2008 elections, what party had the most parliament seats?",,hard,
789,Kuala_Lumpur,what is the name of the event that draws the worlds top riders to malaysia?,KL Grand Prix CSI 5*,hard,hard
790,Kuala_Lumpur,what is the name of the event that draws the worlds top riders to malaysia?,,hard,
791,Leonardo_da_Vinci,Wasn't Leonardo da Vinci valued as an engineer?,no,,medium
792,Leonardo_da_Vinci,Wasn't Leonardo da Vinci born on April 15?,"Yes, Leonardo da Vinci was born on April 15.",,easy
794,Leonardo_da_Vinci,"When did Baldassare Castiglione, author of Il Cortegiano ( "" The Courtier "" ), write?",1528,,hard
795,Leonardo_da_Vinci,When did he flee to Venice?,In 1499.,,medium
796,Leonardo_da_Vinci,Was Leonardo a contemporary of Botticelli Domenico Ghirlandaio as well as Perugino?,"Leonardo was a contemporary of Botticelli, Domenico Ghirlandaio and Perugino.",,easy
797,Leonardo_da_Vinci,Is the larger work now almost universally attributed to Leonardo?,"Although previously attributed to Ghirlandaio, the larger work is now almost universally attributed to Leonardo.",,medium
798,Leonardo_da_Vinci,"Has Leonardo often been described as the archetype of the Renaissance man, a man whose unquenchable curiosity was equaled only by his powers of invention?",Yes,,easy
799,Leonardo_da_Vinci,Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,Yes.,,easy
800,Leonardo_da_Vinci,"According to art historian Helen Gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote''?",Yes,,easy
801,Lobster,Are lobsters invertebrates?,Yes,easy,easy
802,Lobster,Are lobsters invertebrates?,Yes,easy,easy
803,Lobster,Are lobsters kosher?,No,easy,easy
804,Lobster,Are lobsters kosher?,No,easy,easy
805,Lobster,Do lobsters have blue blood?,yes,easy,easy
806,Lobster,Do lobsters have blue blood?,Yes,easy,easy
807,Lobster,How many legs do lobsters have?,10.,medium,medium
808,Lobster,How many legs do lobsters have?,10,medium,medium
809,Lobster,Where are lobsters found?,In all oceans.,medium,medium
810,Lobster,Where are lobsters found?,In all oceans,medium,medium
811,Lobster,What is the mean level of mercury in American lobsters?,0.31 ppm,medium,medium
813,Lobster,Do lobsters feel pain?,yes.,hard,medium
814,Lobster,Do lobsters feel pain?,Yes,hard,medium
815,Lobster,Did the Moche people worship lobsters?,yes.,hard,hard
816,Lobster,Did the Moche people worship lobsters?,Yes,hard,easy
817,Lobster,What is the caridoid escape reaction?,Swimming backwards quickly by curling and uncurling their abdomen.,hard,hard
818,Lobster,What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen,hard,hard
819,Lyre,Were the recitations of the Ancient Greeks accompanied by lyre playing?,Yes,easy,easy
820,Lyre,Were the recitations of the Ancient Greeks accompanied by lyre playing?,,easy,
821,Lyre,Does a classical lyre have a hollow body?,Yes,easy,easy
822,Lyre,Does a classical lyre have a hollow body?,,easy,
823,Lyre,Is the lyre a stringed musical instrument?,Yes,easy,easy
824,Lyre,Is the lyre a stringed musical instrument?,,easy,
825,Lyre,Which constellation is said to resemble a lyre shape?,Lyra,medium,medium
826,Lyre,Which constellation is said to resemble a lyre shape?,,medium,
827,Lyre,How many raised arms are extending from the sound-chest of a classical lyre?,Two,medium,medium
828,Lyre,How many raised arms are extending from the sound-chest of a classical lyre?,,medium,
829,Lyre,What were the strings of a classical lyre made of?,Gut,medium,hard
830,Lyre,What were the strings of a classical lyre made of?,,medium,
831,Lyre,Is the foot pedal framework for a piano called a lyre?,Yes,hard,medium
833,Lyre,Where was the deepest note of the classical lyre in relation to the player's body?,It was farthest from the player's body.,hard,medium
835,Lyre,Does a standard piano have fewer strings than a harp?,No,hard,hard
836,Lyre,Does a standard piano have fewer strings than a harp?,,hard,
838,Malay_language,Could Malay have originated from Sumatra island?,Yes.,easy,hard
839,Malay_language,Is Malay an agglutinative language?,Yes,easy,easy
841,Malay_language,What family is Malay a member of?,Austronesian family,medium,medium
842,Malay_language,What family is Malay a member of?,Austronesian.,medium,hard
843,Malay_language,What is the basic word order in Malay?,Subject Verb Object,medium,medium
844,Malay_language,What is the basic word order in Malay?,Subject Object Verb.,medium,medium
845,Malay_language,What languages has Malay borrowed words from?,"Sanskrit, Arabic and English",medium,medium
846,Malay_language,What languages has Malay borrowed words from?,"Arabic, Sanskrit, Tamil, Persian, Portuguese, Dutch, certain Chinese dialects, and English.",medium,hard
847,Malay_language,Are there many words in Malay that use natural gender?,No,hard,hard
848,Malay_language,How are new words formed in Malay?,three methods.,hard,too hard
849,Malay_language,How are new words formed in Malay?,"Affixation, composition, and reduplication.",hard,hard
850,Malay_language,Is Malay in the Austronesian family of languages?,Yes,easy,easy
851,Malay_language,Is Malay in the Austronesian family of languages?,,easy,
852,Malay_language,Is Malay an agglutinative language?,Yes,easy,easy
853,Malay_language,Is Malay an agglutinative language?,,easy,
854,Malay_language,Is there one negation word in Malay?,No,easy,easy
855,Malay_language,Is there one negation word in Malay?,,easy,
856,Malay_language,How many parts of speech are there in Malay?,Four,medium,easy
857,Malay_language,How many parts of speech are there in Malay?,,medium,
858,Malay_language,What is the basic word order in Malay?,Subject Verb Object,medium,medium
859,Malay_language,What is the basic word order in Malay?,,medium,
860,Malay_language,What is the national language in Malaysia?,Malay ,medium,easy
861,Malay_language,What is the national language in Malaysia?,,medium,
862,Malay_language,Do linguists consider Malay to be a single language?,No,hard,hard
863,Malay_language,Do linguists consider Malay to be a single language?,,hard,
864,Malay_language,Can speakers of modern Malay understand Old Malay?,No,hard,hard
865,Malay_language,Can speakers of modern Malay understand Old Malay?,,hard,
867,Malay_language,What language besides Malay is in the Austronesia language family?,,hard,
868,Malay_language,Wasn't Malay language found in Sumatra?,The Malay language was found in Sumatra.,,easy
869,Malay_language,Wasn't Malay language written using Pallava?,Yes.,,easy
870,Malay_language,Was Malay language written using Pallava?,Yes,,easy
871,Malay_language,Had the language already been used as the lingua franca throughout the archipelago since the 15th century?,yes,,easy
872,Malay_language,Do another distinguishing feature of Malay ( include Indonesian Malay )?,Another distinguishing feature of Malay (include Indonesian Malay) is its use of measure words (penjodoh bilangan).,,medium
873,Malay_language,Is Malay spoken as local dialect of ethnic Malays?,Yes,,easy
874,Malay_language,Give an example of the tributary states of the Majapahit kingdom in eastern Java. ,Malayu is an example of the tributary states of the Majapahit kingdom in eastern Java.,,too hard
875,Malay_language,Is Malay the one of the most widely spoken languages in the world?,yes,,easy
877,Melbourne,Is Melbourne the capital and most populous city in the state of Victoria?,Yes,easy,easy
878,Melbourne,Is Melbourne the capital and most populous city in the state of Victoria?,Yes.,easy,easy
879,Melbourne,Is Melbourne home to Australia's busiest seaport?,Yes,easy,easy
881,Melbourne,Does Melbourne have a large international student community?,Yes,easy,easy
882,Melbourne,Does Melbourne have a large international student community?,Yes.,easy,easy
883,Melbourne,What is a resident of Melbourne known as?,Melburnian,medium,medium
884,Melbourne,What is a resident of Melbourne known as?,"A ""Melburnian"".",medium,medium
885,Melbourne,When was Melbourne officially declared as a city?,1847,medium,medium
886,Melbourne,When was Melbourne officially declared as a city?,In 1847.,medium,hard
887,Melbourne,How many sister cities does the City of Melbourne have?,six,medium,medium
888,Melbourne,How many sister cities does the City of Melbourne have?,Six.,medium,medium
889,Melbourne,Where is Melbourne situated?,boundary of the very hot inland areas and the cold southern ocean,hard,too hard
890,Melbourne,How many domestic tourists visit Melbourne?,7.6 million domestic visitors,hard,medium
891,Melbourne,How many domestic tourists visit Melbourne?,7.6 million.,hard,hard
892,Melbourne,What religion holds majority in Melbourne?,Christian,hard,hard
893,Melbourne,What religion holds majority in Melbourne?,Christianity.,hard,too hard
894,Michael_Faraday,Did Albert Einstein keep a photograph of Faraday on his study wall?,"Yes, Albert Einstein kept a photograph of Faraday on his study wall.",easy,easy
895,Michael_Faraday,Did Albert Einstein keep a photograph of Faraday on his study wall?,yes,easy,easy
896,Michael_Faraday,Did Faraday marry Sarah Barnard?,"Yes, Faraday married Sarah Barnard.",easy,easy
898,Michael_Faraday,Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis.",easy,easy
899,Michael_Faraday,Did Faraday also discover the laws of electrolysis?,yes,easy,easy
900,Michael_Faraday,Who discovered benzene?,Michael Faraday discovered benzene.,medium,medium
901,Michael_Faraday,Who discovered benzene?,Michael Faraday,medium,medium
902,Michael_Faraday,Where was Michael Faraday born?,Michael Faraday was born in Newington Butts.,medium,medium
903,Michael_Faraday,Where was Michael Faraday born?,Newington Butts,medium,medium
905,Michael_Faraday,What is the Faraday effect?,The plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving.,medium,hard
906,Michael_Faraday,Did Faraday discover diamagnetism?,"Yes, Faraday discovered diamagnetism.",hard,hard
908,Michael_Faraday,How many siblings did Faraday have?,Faraday had three siblings.,hard,hard
909,Michael_Faraday,How many siblings did Faraday have?,two,hard,hard
910,Michael_Faraday,Where is Michael Faraday buried?,Michael Faraday is buried in the dissenters' section of Highgate Cemetery.,hard,hard
912,Michael_Faraday,Is faraday best known for his work with kinematics?,No,easy,easy
913,Michael_Faraday,Is faraday best known for his work with kinematics?,,easy,
914,Michael_Faraday,was he active in the area now called environmental science?,Yes,easy,easy
915,Michael_Faraday,was he active in the area now called environmental science?,,easy,
916,Michael_Faraday,did he discover benzene?,Yes,easy,easy
917,Michael_Faraday,did he discover benzene?,,easy,
919,Michael_Faraday,who was his mentor?,,medium,
920,Michael_Faraday,what happened in 1824?,,medium,
921,Michael_Faraday,Who was Faraday's wife?,Sarah Barnard,medium,hard
922,Michael_Faraday,Who was Faraday's wife?,,medium,
923,Michael_Faraday,did he advise the british government on the production of chemical weapons for use in the crimean war?,No,hard,hard
924,Michael_Faraday,did he advise the british government on the production of chemical weapons for use in the crimean war?,,hard,
925,Michael_Faraday,did faraday have strong maritime interests?,Yes,hard,easy
926,Michael_Faraday,did faraday have strong maritime interests?,,hard,
927,Michael_Faraday,does the charge reside on the interior of a charged conductor?,No,hard,easy
928,Michael_Faraday,does the charge reside on the interior of a charged conductor?,,hard,
929,Michelangelo,Wasn't Michelangelo abstemious?,Michelangelo was abstemious.,,medium
930,Michelangelo,Wasn't Michelangelo a homosexual?,It is not clear.,,too hard
931,Michelangelo,When did Filippo Strozzi sell it to Francis I?,In 1529.,,medium
932,Michelangelo,When was his house demolished?,1874,,hard
933,Michelangelo,Was Michelangelos mother Francesca di Neri del Miniato di Siena?,yes,,easy
934,Michelangelo,Give an example of the most renowned works of the Renaissance. ,"The Statue of David, completed by Michelangelo in 1504",,medium
936,Montreal,Is French the least spoken language in Montreal?,,easy,
937,Montreal,Is French the least spoken language in Montreal?,,easy,
938,Montreal,Was Montreal incorporated as a city in 1832?,,easy,
939,Montreal,Was Montreal incorporated as a city in 1832?,,easy,
940,Montreal,Does Montreal lie at the confluence of several climatic regions?,,easy,
941,Montreal,Does Montreal lie at the confluence of several climatic regions?,,easy,
942,Montreal,Montreal was merged with how many surrounding municipalities?,,medium,
943,Montreal,Montreal was merged with how many surrounding municipalities?,,medium,
944,Montreal,"As of the 2006 census, how many people resided in the city of montreal?",,medium,
945,Montreal,"As of the 2006 census, how many people resided in the city of montreal?",,medium,
947,Montreal,Why did Montreal lose its status as the capital of the  Province of Canada in 1849?,,medium,
948,Montreal,What are the designs and decorations of the Montreal Metro System said to be?,,hard,
